instancia                          items       OPT      H_BL     H_PSO    HoptBL   HoptPSO       ms
2001WangValenzuelaNice29.25.csv       25    100.00    123.94    112.83    1.2394    1.1283       18
2001WangValenzuelaNice29.50.csv       50    100.00    120.32    115.19    1.2032    1.1519       50
2001WangValenzuelaNice3.100.csv      100    100.00    118.26    115.31    1.1826    1.1531      149
2001WangValenzuelaNice3.1t.csv      1000    100.00    113.20    112.30    1.1320    1.1230     2253
2001WangValenzuelaNice3.200.csv      200    100.00    118.09    114.44    1.1809    1.1444      421
2001WangValenzuelaNice3.25.csv        25    100.00    122.33    113.16    1.2233    1.1316       20
2001WangValenzuelaNice3.2t.csv      2000    100.00    112.15    111.53    1.1215    1.1153     2251
2001WangValenzuelaNice3.50.csv        50    100.00    123.50    115.07    1.2350    1.1507       55
2001WangValenzuelaNice3.500.csv      500    100.00    116.61    113.64    1.1661    1.1364      567
2001WangValenzuelaNice3.5t.csv      5000    100.00    110.99    110.36    1.1099    1.1036     4997
2001WangValenzuelaNice30.100.csv     100    100.00    120.06    114.91    1.2006    1.1491      146
2001WangValenzuelaNice30.200.csv     200    100.00    120.94    113.57    1.2094    1.1357      412
2001WangValenzuelaNice30.25.csv       25    100.00    122.99    112.52    1.2299    1.1252       19
2001WangValenzuelaNice30.50.csv       50    100.00    122.31    114.78    1.2231    1.1478       53
2001WangValenzuelaNice31.100.csv     100    100.00    121.41    115.19    1.2141    1.1519      137
2001WangValenzuelaNice31.200.csv     200    100.00    114.69    113.55    1.1469    1.1355      387
2001WangValenzuelaNice31.25.csv       25    100.00    126.10    112.83    1.2610    1.1283       18
2001WangValenzuelaNice31.50.csv       50    100.00    125.91    114.89    1.2591    1.1489       50
2001WangValenzuelaNice32.100.csv     100    100.00    118.89    115.89    1.1889    1.1589      134
2001WangValenzuelaNice32.200.csv     200    100.00    118.80    113.77    1.1880    1.1377      403
2001WangValenzuelaNice32.25.csv       25    100.00    117.29    113.96    1.1729    1.1396       19
2001WangValenzuelaNice32.50.csv       50    100.00    123.23    115.18    1.2323    1.1518       50
2001WangValenzuelaNice33.100.csv     100    100.00    124.44    114.73    1.2444    1.1473      144
2001WangValenzuelaNice33.200.csv     200    100.00    118.17    114.56    1.1817    1.1456      390
2001WangValenzuelaNice33.25.csv       25    100.00    130.02    114.22    1.3002    1.1422       21
2001WangValenzuelaNice33.50.csv       50    100.00    123.30    115.69    1.2330    1.1569       53
2001WangValenzuelaNice34.100.csv     100    100.00    119.44    114.52    1.1944    1.1452      148
2001WangValenzuelaNice34.200.csv     200    100.00    118.77    114.37    1.1877    1.1437      428
2001WangValenzuelaNice34.25.csv       25    100.00    136.18    112.73    1.3618    1.1273       19
2001WangValenzuelaNice34.50.csv       50    100.00    116.15    114.99    1.1615    1.1499       50
2001WangValenzuelaNice35.100.csv     100    100.00    120.27    113.89    1.2027    1.1389      135
2001WangValenzuelaNice35.200.csv     200    100.00    117.63    114.96    1.1763    1.1496      390
2001WangValenzuelaNice35.25.csv       25    100.00    112.80    112.46    1.1280    1.1246       19
2001WangValenzuelaNice35.50.csv       50    100.00    134.57    115.57    1.3457    1.1557       51
2001WangValenzuelaNice36.100.csv     100    100.00    124.45    115.21    1.2445    1.1521      134
2001WangValenzuelaNice36.200.csv     200    100.00    117.45    114.76    1.1745    1.1476      398
2001WangValenzuelaNice36.25.csv       25    100.00    120.64    115.14    1.2064    1.1514       19
2001WangValenzuelaNice36.50.csv       50    100.00    118.19    115.20    1.1819    1.1520       49
2001WangValenzuelaNice37.100.csv     100    100.00    119.90    116.07    1.1990    1.1607      139
2001WangValenzuelaNice37.200.csv     200    100.00    119.01    114.59    1.1901    1.1459      403
2001WangValenzuelaNice37.25.csv       25    100.00    132.88    113.74    1.3288    1.1374       19
2001WangValenzuelaNice37.50.csv       50    100.00    122.95    114.82    1.2295    1.1482       50
2001WangValenzuelaNice38.100.csv     100    100.00    119.18    114.10    1.1918    1.1410      145
2001WangValenzuelaNice38.200.csv     200    100.00    119.47    114.63    1.1947    1.1463      431
2001WangValenzuelaNice38.25.csv       25    100.00    134.49    113.44    1.3449    1.1344       20
2001WangValenzuelaNice38.50.csv       50    100.00    121.47    111.83    1.2147    1.1183       52
2001WangValenzuelaNice39.100.csv     100    100.00    122.49    114.97    1.2249    1.1497      141
2001WangValenzuelaNice39.200.csv     200    100.00    119.42    114.04    1.1942    1.1404      406
2001WangValenzuelaNice39.25.csv       25    100.00    118.99    113.52    1.1899    1.1352       17
2001WangValenzuelaNice39.50.csv       50    100.00    120.09    115.69    1.2009    1.1569       51
2001WangValenzuelaNice4.100.csv      100    100.00    121.65    114.46    1.2165    1.1446      139
2001WangValenzuelaNice4.1t.csv      1000    100.00    112.71    111.95    1.1271    1.1195     1871
2001WangValenzuelaNice4.200.csv      200    100.00    116.37    113.95    1.1637    1.1395      424
2001WangValenzuelaNice4.25.csv        25    100.00    126.49    111.16    1.2649    1.1116       19
2001WangValenzuelaNice4.2t.csv      2000    100.00    112.32    111.17    1.1232    1.1117     2180
2001WangValenzuelaNice4.50.csv        50    100.00    122.11    114.47    1.2211    1.1447       58
2001WangValenzuelaNice4.500.csv      500    100.00    115.43    113.52    1.1543    1.1352      549
2001WangValenzuelaNice4.5t.csv      5000    100.00    110.88    110.12    1.1088    1.1012     5247
2001WangValenzuelaNice40.100.csv     100    100.00    118.07    114.44    1.1807    1.1444      206
2001WangValenzuelaNice40.200.csv     200    100.00    117.30    114.07    1.1730    1.1407      501
2001WangValenzuelaNice40.25.csv       25    100.00    115.03    113.91    1.1503    1.1391       23
2001WangValenzuelaNice40.50.csv       50    100.00    126.64    115.22    1.2664    1.1522       60
2001WangValenzuelaNice41.100.csv     100    100.00    121.67    115.36    1.2167    1.1536      190
2001WangValenzuelaNice41.200.csv     200    100.00    117.41    114.56    1.1741    1.1456      493
2001WangValenzuelaNice41.25.csv       25    100.00    122.11    111.27    1.2211    1.1127       21
2001WangValenzuelaNice41.50.csv       50    100.00    126.65    115.39    1.2665    1.1539       63
2001WangValenzuelaNice42.100.csv     100    100.00    121.42    115.43    1.2142    1.1543      162
2001WangValenzuelaNice42.200.csv     200    100.00    118.52    114.13    1.1852    1.1413      486
2001WangValenzuelaNice42.25.csv       25    100.00    117.62    114.89    1.1762    1.1489       20
2001WangValenzuelaNice42.50.csv       50    100.00    122.37    116.84    1.2237    1.1684       53
2001WangValenzuelaNice43.100.csv     100    100.00    119.00    113.90    1.1900    1.1390      148
2001WangValenzuelaNice43.200.csv     200    100.00    116.29    114.48    1.1629    1.1448      554
2001WangValenzuelaNice43.25.csv       25    100.00    128.65    114.38    1.2865    1.1438       19
2001WangValenzuelaNice43.50.csv       50    100.00    117.12    114.67    1.1712    1.1467       55
2001WangValenzuelaNice44.100.csv     100    100.00    117.96    115.38    1.1796    1.1538      149
2001WangValenzuelaNice44.200.csv     200    100.00    119.38    114.50    1.1938    1.1450      403
2001WangValenzuelaNice44.25.csv       25    100.00    123.07    115.29    1.2307    1.1529       20
2001WangValenzuelaNice44.50.csv       50    100.00    118.61    114.98    1.1861    1.1498       54
2001WangValenzuelaNice45.100.csv     100    100.00    122.00    115.29    1.2200    1.1529      158
2001WangValenzuelaNice45.200.csv     200    100.00    117.13    114.50    1.1713    1.1450      489
2001WangValenzuelaNice45.25.csv       25    100.00    125.46    110.65    1.2546    1.1065       21
2001WangValenzuelaNice45.50.csv       50    100.00    120.73    115.05    1.2073    1.1505       54
