instancia,items,ancho,opt_conocido,OPT_ref,H_BL,H_PSO,Hopt_BL,Hopt_PSO,ms
2001WangValenzuelaNice24.100.csv,100,100.0000,true,100.0000,123.4173,115.4298,1.234173,1.154298,149
2001WangValenzuelaNice24.200.csv,200,100.0000,true,100.0000,118.9903,115.1163,1.189903,1.151163,429
2001WangValenzuelaNice24.25.csv,25,100.0000,true,100.0000,126.0180,113.6212,1.260180,1.136212,19
2001WangValenzuelaNice24.50.csv,50,100.0000,true,100.0000,128.9080,114.3529,1.289080,1.143529,54
2001WangValenzuelaNice25.100.csv,100,100.0000,true,100.0000,117.4864,115.5506,1.174864,1.155506,134
2001WangValenzuelaNice25.200.csv,200,100.0000,true,100.0000,121.4854,114.4216,1.214854,1.144216,389
2001WangValenzuelaNice25.25.csv,25,100.0000,true,100.0000,122.4744,113.3583,1.224744,1.133583,19
2001WangValenzuelaNice25.50.csv,50,100.0000,true,100.0000,124.4103,114.4046,1.244103,1.144046,50
2001WangValenzuelaNice26.100.csv,100,100.0000,true,100.0000,119.7130,114.1535,1.197130,1.141535,137
2001WangValenzuelaNice26.200.csv,200,100.0000,true,100.0000,119.7477,114.6483,1.197477,1.146483,409
2001WangValenzuelaNice26.25.csv,25,100.0000,true,100.0000,121.3680,113.7452,1.213680,1.137452,20
2001WangValenzuelaNice26.50.csv,50,100.0000,true,100.0000,118.9271,114.8308,1.189271,1.148308,50
2001WangValenzuelaNice27.100.csv,100,100.0000,true,100.0000,114.3923,113.7194,1.143923,1.137194,137
2001WangValenzuelaNice27.200.csv,200,100.0000,true,100.0000,116.1079,114.3912,1.161079,1.143912,402
2001WangValenzuelaNice27.25.csv,25,100.0000,true,100.0000,127.4885,114.0332,1.274885,1.140332,20
2001WangValenzuelaNice27.50.csv,50,100.0000,true,100.0000,120.9259,115.7778,1.209259,1.157778,51
2001WangValenzuelaNice28.100.csv,100,100.0000,true,100.0000,122.0281,114.6528,1.220281,1.146528,138
2001WangValenzuelaNice28.200.csv,200,100.0000,true,100.0000,115.2104,114.3419,1.152104,1.143419,406
2001WangValenzuelaNice28.25.csv,25,100.0000,true,100.0000,121.5410,111.9472,1.215410,1.119472,19
2001WangValenzuelaNice28.50.csv,50,100.0000,true,100.0000,118.5747,115.4202,1.185747,1.154202,52
2001WangValenzuelaNice29.100.csv,100,100.0000,true,100.0000,122.8580,115.0217,1.228580,1.150217,136
2001WangValenzuelaNice29.200.csv,200,100.0000,true,100.0000,118.1359,114.6782,1.181359,1.146782,387
2001WangValenzuelaNice29.25.csv,25,100.0000,true,100.0000,123.9433,112.8295,1.239433,1.128295,18
2001WangValenzuelaNice29.50.csv,50,100.0000,true,100.0000,120.3225,115.1870,1.203225,1.151870,50
2001WangValenzuelaNice3.100.csv,100,100.0000,true,100.0000,118.2611,115.3127,1.182611,1.153127,149
2001WangValenzuelaNice3.1t.csv,1000,100.0000,true,100.0000,113.2041,112.3005,1.132041,1.123005,2253
2001WangValenzuelaNice3.200.csv,200,100.0000,true,100.0000,118.0908,114.4362,1.180908,1.144362,421
2001WangValenzuelaNice3.25.csv,25,100.0000,true,100.0000,122.3250,113.1593,1.223250,1.131593,20
2001WangValenzuelaNice3.2t.csv,2000,100.0000,true,100.0000,112.1477,111.5331,1.121477,1.115331,2251
2001WangValenzuelaNice3.50.csv,50,100.0000,true,100.0000,123.5014,115.0734,1.235014,1.150734,55
2001WangValenzuelaNice3.500.csv,500,100.0000,true,100.0000,116.6061,113.6434,1.166061,1.136434,567
2001WangValenzuelaNice3.5t.csv,5000,100.0000,true,100.0000,110.9897,110.3642,1.109897,1.103642,4997
2001WangValenzuelaNice30.100.csv,100,100.0000,true,100.0000,120.0631,114.9146,1.200631,1.149146,146
2001WangValenzuelaNice30.200.csv,200,100.0000,true,100.0000,120.9411,113.5729,1.209411,1.135729,412
